filename,class_label,source_type,edit_type,base_image,notes
demo_certificates/internship/real/internship_real_0001.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
demo_certificates/internship/fake/internship_fake_0001.jpg,fake,synthetic_certificate_edit,issuer_change+name_change+seal_shift+body_text_change,demo_certificates/internship/real/internship_real_0001.jpg,Generated by locally editing a synthetic base certificate.
demo_certificates/internship/real/internship_real_0002.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
demo_certificates/internship/fake/internship_fake_0002.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
demo_certificates/internship/real/internship_real_0003.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
demo_certificates/internship/fake/internship_fake_0003.jpg,fake,synthetic_certificate_edit,issuer_change+date_change,demo_certificates/internship/real/internship_real_0003.jpg,Generated by locally editing a synthetic base certificate.
demo_certificates/internship/real/internship_real_0004.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
demo_certificates/internship/fake/internship_fake_0004.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
demo_certificates/internship/real/internship_real_0005.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
demo_certificates/internship/fake/internship_fake_0005.jpg,fake,synthetic_certificate_edit,serial_change+signature_change+issuer_change+body_text_change,demo_certificates/internship/real/internship_real_0005.jpg,Generated by locally editing a synthetic base certificate.
