filename,class_label,source_type,edit_type,base_image,notes
demo_certificates/medical/real/medical_real_0001.jpg,real,synthetic_medical_certificate,none,,Generated privacy-safe medical certificate image.
demo_certificates/medical/fake/medical_fake_0001.jpg,fake,synthetic_medical_certificate_edit,registration_number_change+date_change+hospital_name_change+diagnosis_change,demo_certificates/medical/real/medical_real_0001.jpg,Generated by locally editing a synthetic base medical certificate.
demo_certificates/medical/real/medical_real_0002.jpg,real,synthetic_medical_certificate,none,,Generated privacy-safe medical certificate image.
demo_certificates/medical/fake/medical_fake_0002.jpg,fake,synthetic_medical_certificate_forged,fully_forged,,Generated as a completely forged medical certificate.
demo_certificates/medical/real/medical_real_0003.jpg,real,synthetic_medical_certificate,none,,Generated privacy-safe medical certificate image.
demo_certificates/medical/fake/medical_fake_0003.jpg,fake,synthetic_medical_certificate_edit,hospital_name_change+patient_name_change,demo_certificates/medical/real/medical_real_0003.jpg,Generated by locally editing a synthetic base medical certificate.
demo_certificates/medical/real/medical_real_0004.jpg,real,synthetic_medical_certificate,none,,Generated privacy-safe medical certificate image.
demo_certificates/medical/fake/medical_fake_0004.jpg,fake,synthetic_medical_certificate_forged,fully_forged,,Generated as a completely forged medical certificate.
demo_certificates/medical/real/medical_real_0005.jpg,real,synthetic_medical_certificate,none,,Generated privacy-safe medical certificate image.
demo_certificates/medical/fake/medical_fake_0005.jpg,fake,synthetic_medical_certificate_edit,registration_number_change+doctor_name_change+patient_name_change+diagnosis_change,demo_certificates/medical/real/medical_real_0005.jpg,Generated by locally editing a synthetic base medical certificate.
