filename,class_label,source_type,edit_type,base_image,notes
dataset/real/synthetic_real_0001.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0001.jpg,fake,synthetic_certificate_edit,serial_change+issuer_change+body_text_change,dataset/real/synthetic_real_0001.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0002.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0002.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0003.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0003.jpg,fake,synthetic_certificate_edit,name_change,dataset/real/synthetic_real_0003.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0004.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0004.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0005.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0005.jpg,fake,synthetic_certificate_edit,name_change,dataset/real/synthetic_real_0005.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0006.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0006.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0007.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0007.jpg,fake,synthetic_certificate_edit,body_text_change+serial_change,dataset/real/synthetic_real_0007.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0008.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0008.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0009.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0009.jpg,fake,synthetic_certificate_edit,signature_change,dataset/real/synthetic_real_0009.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0010.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0010.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0011.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0011.jpg,fake,synthetic_certificate_edit,seal_shift+name_change,dataset/real/synthetic_real_0011.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0012.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0012.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0013.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0013.jpg,fake,synthetic_certificate_edit,name_change+date_change,dataset/real/synthetic_real_0013.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0014.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0014.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0015.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0015.jpg,fake,synthetic_certificate_edit,issuer_change,dataset/real/synthetic_real_0015.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0016.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0016.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0017.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0017.jpg,fake,synthetic_certificate_edit,award_text_change+body_text_change+issuer_change,dataset/real/synthetic_real_0017.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0018.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0018.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0019.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0019.jpg,fake,synthetic_certificate_edit,serial_change+issuer_change,dataset/real/synthetic_real_0019.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0020.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0020.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0021.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0021.jpg,fake,synthetic_certificate_edit,seal_shift,dataset/real/synthetic_real_0021.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0022.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0022.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0023.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0023.jpg,fake,synthetic_certificate_edit,serial_change+name_change+signature_change,dataset/real/synthetic_real_0023.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0024.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0024.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0025.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0025.jpg,fake,synthetic_certificate_edit,signature_change,dataset/real/synthetic_real_0025.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0026.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0026.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0027.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0027.jpg,fake,synthetic_certificate_edit,body_text_change+location_change+date_change,dataset/real/synthetic_real_0027.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0028.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0028.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0029.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0029.jpg,fake,synthetic_certificate_edit,signature_change+issuer_change,dataset/real/synthetic_real_0029.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0030.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0030.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0031.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0031.jpg,fake,synthetic_certificate_edit,issuer_change,dataset/real/synthetic_real_0031.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0032.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0032.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0033.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0033.jpg,fake,synthetic_certificate_edit,location_change+name_change+seal_shift,dataset/real/synthetic_real_0033.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0034.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0034.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0035.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0035.jpg,fake,synthetic_certificate_edit,issuer_change,dataset/real/synthetic_real_0035.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0036.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0036.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0037.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0037.jpg,fake,synthetic_certificate_edit,award_text_change+issuer_change,dataset/real/synthetic_real_0037.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0038.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0038.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0039.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0039.jpg,fake,synthetic_certificate_edit,name_change,dataset/real/synthetic_real_0039.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0040.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0040.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0041.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0041.jpg,fake,synthetic_certificate_edit,name_change+issuer_change,dataset/real/synthetic_real_0041.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0042.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0042.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0043.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0043.jpg,fake,synthetic_certificate_edit,location_change+body_text_change,dataset/real/synthetic_real_0043.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0044.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0044.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0045.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0045.jpg,fake,synthetic_certificate_edit,name_change+award_text_change+signature_change,dataset/real/synthetic_real_0045.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0046.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0046.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0047.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0047.jpg,fake,synthetic_certificate_edit,issuer_change+seal_shift,dataset/real/synthetic_real_0047.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0048.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0048.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0049.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0049.jpg,fake,synthetic_certificate_edit,seal_shift+serial_change,dataset/real/synthetic_real_0049.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0050.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0050.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0051.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0051.jpg,fake,synthetic_certificate_edit,date_change,dataset/real/synthetic_real_0051.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0052.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0052.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0053.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0053.jpg,fake,synthetic_certificate_edit,serial_change,dataset/real/synthetic_real_0053.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0054.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0054.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0055.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0055.jpg,fake,synthetic_certificate_edit,award_text_change+issuer_change+body_text_change,dataset/real/synthetic_real_0055.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0056.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0056.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0057.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0057.jpg,fake,synthetic_certificate_edit,award_text_change,dataset/real/synthetic_real_0057.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0058.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0058.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0059.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0059.jpg,fake,synthetic_certificate_edit,date_change+body_text_change+issuer_change,dataset/real/synthetic_real_0059.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0060.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0060.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0061.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0061.jpg,fake,synthetic_certificate_edit,date_change+name_change,dataset/real/synthetic_real_0061.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0062.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0062.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0063.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0063.jpg,fake,synthetic_certificate_edit,signature_change+seal_shift,dataset/real/synthetic_real_0063.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0064.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0064.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0065.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0065.jpg,fake,synthetic_certificate_edit,body_text_change,dataset/real/synthetic_real_0065.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0066.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0066.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0067.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0067.jpg,fake,synthetic_certificate_edit,body_text_change,dataset/real/synthetic_real_0067.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0068.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0068.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0069.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0069.jpg,fake,synthetic_certificate_edit,serial_change+name_change,dataset/real/synthetic_real_0069.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0070.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0070.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0071.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0071.jpg,fake,synthetic_certificate_edit,signature_change+name_change,dataset/real/synthetic_real_0071.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0072.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0072.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0073.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0073.jpg,fake,synthetic_certificate_edit,location_change+seal_shift,dataset/real/synthetic_real_0073.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0074.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0074.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0075.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0075.jpg,fake,synthetic_certificate_edit,award_text_change+serial_change+date_change,dataset/real/synthetic_real_0075.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0076.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0076.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0077.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0077.jpg,fake,synthetic_certificate_edit,name_change,dataset/real/synthetic_real_0077.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0078.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0078.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0079.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0079.jpg,fake,synthetic_certificate_edit,location_change+date_change+award_text_change,dataset/real/synthetic_real_0079.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0080.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0080.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0081.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0081.jpg,fake,synthetic_certificate_edit,serial_change,dataset/real/synthetic_real_0081.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0082.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0082.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0083.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0083.jpg,fake,synthetic_certificate_edit,issuer_change+location_change+name_change,dataset/real/synthetic_real_0083.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0084.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0084.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0085.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0085.jpg,fake,synthetic_certificate_edit,name_change+location_change,dataset/real/synthetic_real_0085.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0086.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0086.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0087.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0087.jpg,fake,synthetic_certificate_edit,date_change,dataset/real/synthetic_real_0087.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0088.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0088.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0089.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0089.jpg,fake,synthetic_certificate_edit,location_change,dataset/real/synthetic_real_0089.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0090.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0090.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0091.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0091.jpg,fake,synthetic_certificate_edit,body_text_change,dataset/real/synthetic_real_0091.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0092.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0092.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0093.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0093.jpg,fake,synthetic_certificate_edit,name_change+location_change,dataset/real/synthetic_real_0093.jpg,Generated by locally editing a synthetic base certificate.
dataset/real/synthetic_real_0094.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
dataset/fake/synthetic_fake_0094.jpg,fake,synthetic_certificate_forged,fully_forged,,Generated as a completely forged certificate with subtle inconsistencies.
dataset/real/synthetic_real_0095.jpg,real,synthetic_certificate,none,,Generated privacy-safe certificate image.
